Date,Open,High,Low,Close,Adj Close,Volume
1996-01-01,4707.399902,4987.899902,4707.399902,4968.399902,4968.399902,1360850000
1996-02-01,4983.399902,5066.799805,4923.799805,4933.700195,4933.700195,1777520000
1996-03-01,4947.200195,5004.799805,4870.000000,4970.799805,4970.799805,1602630000
1996-04-01,4970.200195,5154.299805,4949.100098,5146.500000,5146.500000,1410670000
1996-05-01,5142.700195,5248.399902,5116.500000,5246.399902,5246.399902,1833510000
1996-06-01,5234.600098,5243.600098,5006.100098,5044.100098,5044.100098,1676890000
1996-07-01,5070.399902,5098.299805,4814.100098,4929.200195,4929.200195,1433390000
1996-08-01,4933.200195,5200.700195,4933.200195,5143.399902,5143.399902,1537490000
1996-09-01,5120.000000,5326.899902,5120.000000,5291.100098,5291.100098,1706230000
1996-10-01,5296.299805,5601.899902,5294.600098,5598.799805,5598.799805,2198090000
1996-11-01,5606.000000,6019.100098,5579.299805,6016.700195,6016.700195,2288720000
1996-12-01,5978.899902,5996.799805,5672.200195,5927.000000,5927.000000,1776320000
1997-01-01,5917.799805,6144.299805,5872.200195,6109.600098,6109.600098,2364840000
1997-02-01,6123.200195,6260.700195,6063.100098,6157.799805,6157.799805,2328990000
1997-03-01,6125.000000,6348.000000,5808.500000,5850.200195,5850.200195,1945490000
1997-04-01,5840.299805,5976.600098,5658.000000,5976.600098,5976.600098,87408260000
1997-05-01,5973.299805,6491.399902,5973.299805,6382.100098,6382.100098,109681550000
1997-06-01,6403.399902,6557.000000,6388.799805,6437.700195,6437.700195,114946430000
1997-07-01,6471.500000,6881.899902,6471.500000,6877.700195,6877.700195,125894210000
1997-08-01,6877.299805,6964.100098,6582.200195,6611.799805,6611.799805,108209170000
1997-09-01,6618.299805,7068.600098,6618.299805,7040.200195,7040.200195,127678010000
1997-10-01,7070.700195,7223.399902,6355.200195,6842.399902,6842.399902,123678100000
1997-11-01,6919.600098,6986.700195,6424.600098,6512.799805,6512.799805,123621000000
1997-12-01,6537.899902,6809.600098,6465.000000,6699.399902,6699.399902,120355750000
1998-01-01,6708.899902,6755.899902,6066.700195,6700.200195,6700.200195,132518720000
1998-02-01,6769.399902,7131.500000,6738.700195,7092.500000,7092.500000,133313840000
1998-03-01,7106.899902,7630.500000,7070.299805,7558.500000,7558.500000,146654160000
1998-04-01,7549.700195,7835.799805,7503.600098,7665.000000,7665.000000,145803310000
1998-05-01,7706.100098,7778.000000,7447.000000,7589.799805,7589.799805,105172290000
1998-06-01,7558.899902,7570.799805,7104.500000,7366.899902,7366.899902,136904710000
1998-07-01,7380.600098,7476.899902,6931.399902,6931.399902,6931.399902,116643940000
1998-08-01,6910.000000,6910.000000,5530.600098,5530.700195,5530.700195,118675860000
1998-09-01,5566.399902,6015.100098,5419.899902,5614.100098,5614.100098,148685810000
1998-10-01,5533.500000,6242.799805,5325.799805,6208.299805,6208.299805,144828490000
1998-11-01,6279.200195,6672.899902,6248.600098,6343.899902,6343.899902,128620690000
1998-12-01,6316.500000,6485.899902,6169.500000,6485.899902,6485.899902,127988440000
1999-01-01,6522.200195,6886.899902,6489.299805,6729.600098,6729.600098,134975140000
1999-02-01,6754.799805,6779.399902,6257.500000,6312.700195,6312.700195,123103450000
1999-03-01,6289.600098,6666.000000,6157.700195,6597.799805,6597.799805,158200700000
1999-04-01,6613.100098,7115.299805,6595.799805,7014.700195,7014.700195,127162480000
