"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 00","453.18","486.34","515.43","447.28","-","-6.82%"
"Feb 00","486.34","421.37","492.60","421.37","-","13.97%"
"Jan 00","426.74","432.98","446.77","415.50","-","-1.44%"
"Dec 99","432.98","398.47","432.98","397.15","-","8.66%"
"Nov 99","398.47","394.21","408.06","389.73","-","1.08%"
"Oct 99","394.21","408.05","409.87","389.89","-","-3.05%"
"Sep 99","406.61","406.24","412.61","397.34","-","0.09%"
"Aug 99","406.24","409.66","418.64","401.92","-","-0.83%"
"Jul 99","409.66","405.38","420.16","405.38","-","1.06%"
"Jun 99","405.38","402.97","406.14","397.52","-","0.60%"
